product,quarter,annual_change
Bread and cereal products,2024-03-01,7.2
Bread and cereal products,2024-06-01,3.9
Bread and cereal products,2024-09-01,2.8
Bread and cereal products,2024-12-01,2.5
Bread and cereal products,2025-03-01,2.7
Dairy and related products,2024-03-01,4.1
Dairy and related products,2024-06-01,2.3
Dairy and related products,2024-09-01,-0.2
Dairy and related products,2024-12-01,-1.2
Dairy and related products,2025-03-01,-0.2
Food and non-alcoholic beverages,2024-03-01,3.8
Food and non-alcoholic beverages,2024-06-01,3.3
Food and non-alcoholic beverages,2024-09-01,3.3
Food and non-alcoholic beverages,2024-12-01,3
Food and non-alcoholic beverages,2025-03-01,3.2
Food products n.e.c,2024-03-01,5.2
Food products n.e.c,2024-06-01,4
Food products n.e.c,2024-09-01,4.2
Food products n.e.c,2024-12-01,3.4
Food products n.e.c,2025-03-01,3.1
Fruit and vegetables,2024-03-01,-0.2
Fruit and vegetables,2024-06-01,3.7
Fruit and vegetables,2024-09-01,8.6
Fruit and vegetables,2024-12-01,6.3
Fruit and vegetables,2025-03-01,6.6
Meat and seafoods,2024-03-01,-1.6
Meat and seafoods,2024-06-01,-0.4
Meat and seafoods,2024-09-01,0.4
Meat and seafoods,2024-12-01,2.5
Meat and seafoods,2025-03-01,4.3
Non alcoholic beverages,2024-03-01,5.4
Non alcoholic beverages,2024-06-01,4.2
Non alcoholic beverages,2024-09-01,4.7
Non alcoholic beverages,2024-12-01,3.8
Non alcoholic beverages,2025-03-01,3.6
